scenario,Mean_Opinion,SD_Opinion,epsilon
Imperial,0.3521495103599785,0.2861434580688251,0.15
Stormcloak,0.6017686607273193,0.32218368366157857,0.15
Imperial,0.23467360435357684,0.2560539338352467,0.25
Stormcloak,0.6141393691245871,0.19465858487609625,0.25
Imperial,0.3263156048689919,0.14262133710937655,0.35
Stormcloak,0.687831607179347,0.10094470157899882,0.35
Imperial,0.35107544286243236,0.03148545260770926,0.45
Stormcloak,0.6683603861995449,0.05248261886246679,0.45
Imperial,0.34642107408905964,0.022302375735084905,0.55
Stormcloak,0.6530104295652204,0.023357851013292713,0.55
